date,margin_debt
1997-01-01,103337
1997-02-01,103886
1997-03-01,104835
1997-04-01,102842
1997-05-01,111097
1997-06-01,118843
1997-07-01,121090
1997-08-01,124404
1997-09-01,131962
1997-10-01,134491
1997-11-01,132741
1997-12-01,131560
1998-01-01,132912
1998-02-01,141328
1998-03-01,146536
1998-04-01,146589
1998-05-01,150293
1998-06-01,154357
1998-07-01,160980
1998-08-01,155879
1998-09-01,144541
1998-10-01,138399
1998-11-01,148697
1998-12-01,148674
1999-01-01,162322
1999-02-01,162909
1999-03-01,166212
1999-04-01,184329
1999-05-01,189950
1999-06-01,187695
1999-07-01,189503
1999-08-01,187616
1999-09-01,189741
1999-10-01,194259
1999-11-01,218304
1999-12-01,241967
2000-01-01,260409
2000-02-01,284206
2000-03-01,299933
2000-04-01,268716
2000-05-01,256862
2000-06-01,264471
2000-07-01,263729
2000-08-01,265166
2000-09-01,270208
2000-10-01,250965
2000-11-01,237913
2000-12-01,210385
2001-01-01,208687
2001-02-01,198887
2001-03-01,174797
2001-04-01,176096
2001-05-01,183041
2001-06-01,179585
2001-07-01,173680
2001-08-01,169316
2001-09-01,157931
2001-10-01,152367
2001-11-01,159440
2001-12-01,160473
2002-01-01,160906
2002-02-01,154931
2002-03-01,160089
2002-04-01,159072
2002-05-01,157802
2002-06-01,153972
2002-07-01,143905
2002-08-01,139146
2002-09-01,136107
2002-10-01,138647
2002-11-01,139472
2002-12-01,139451
2003-01-01,141391
2003-02-01,140516
2003-03-01,144267
2003-04-01,143237
2003-05-01,153725
2003-06-01,168281
2003-07-01,174427
2003-08-01,167200
2003-09-01,171194
2003-10-01,175428
2003-11-01,182587
2003-12-01,181459
2004-01-01,189429
2004-02-01,190448
2004-03-01,191451
2004-04-01,198778
2004-05-01,193843
2004-06-01,193993
2004-07-01,187844
2004-08-01,187828
2004-09-01,193668
2004-10-01,197999
2004-11-01,211012
2004-12-01,217573
2005-01-01,220122
2005-02-01,223155
2005-03-01,226876
2005-04-01,217447
2005-05-01,219404
2005-06-01,224153
2005-07-01,233585
2005-08-01,231400
2005-09-01,244669
2005-10-01,239868
2005-11-01,242904
2005-12-01,244098
2006-01-01,255795
2006-02-01,249609
2006-03-01,259370
2006-04-01,265164
2006-05-01,255608
2006-06-01,251495
2006-07-01,256016
2006-08-01,249368
2006-09-01,261769
2006-10-01,267710
2006-11-01,294899
2006-12-01,303288
2007-01-01,311506
2007-02-01,321171
2007-03-01,317737
2007-04-01,342084
2007-05-01,382312
2007-06-01,408444
2007-07-01,416403
2007-08-01,362475
2007-09-01,359104
2007-10-01,376979
2007-11-01,379593
2007-12-01,355292
2008-01-01,365592
2008-02-01,377088
2008-03-01,349419
2008-04-01,332303
2008-05-01,341610
2008-06-01,346892
2008-07-01,343297
2008-08-01,324814
2008-09-01,345745
2008-10-01,277568
2008-11-01,227334
2008-12-01,210185
2009-01-01,205007
2009-02-01,199655
2009-03-01,203967
2009-04-01,208010
2009-05-01,214401
2009-06-01,217140
2009-07-01,228734
2009-08-01,236251
2009-09-01,254107
2009-10-01,265404
2009-11-01,250988
2009-12-01,262399
2010-01-01,266455
2010-02-01,263657
2010-03-01,277798
2010-04-01,295550
2010-05-01,268566
2010-06-01,263202
2010-07-01,267468
2010-08-01,268371
2010-09-01,288540
2010-10-01,303428
2010-11-01,309340
2010-12-01,313678
2011-01-01,326868
2011-02-01,348979
2011-03-01,355413
2011-04-01,360883
2011-05-01,355736
2011-06-01,345273
2011-07-01,344572
2011-08-01,308866
2011-09-01,298277
2011-10-01,317028
2011-11-01,303930
2011-12-01,301616
2012-01-01,309844
2012-02-01,323021
2012-03-01,330815
2012-04-01,335154
2012-05-01,315147
2012-06-01,320952
2012-07-01,313525
2012-08-01,320395
2012-09-01,339159
2012-10-01,342325
2012-11-01,351441
2012-12-01,355009
2013-01-01,388123
2013-02-01,390351
2013-03-01,403933
2013-04-01,408677
2013-05-01,401606
2013-06-01,407681
2013-07-01,412101
2013-08-01,414442
2013-09-01,432852
2013-10-01,445022
2013-11-01,456378
2013-12-01,478502
2014-01-01,487549
2014-02-01,502093
2014-03-01,487932
2014-04-01,475195
2014-05-01,475362
2014-06-01,502270
2014-07-01,498671
2014-08-01,501000
2014-09-01,503901
2014-10-01,492888
2014-11-01,496341
2014-12-01,495756
2015-01-01,485872
2015-02-01,504923
2015-03-01,518055
2015-04-01,549964
2015-05-01,541671
2015-06-01,547957
2015-07-01,530744
2015-08-01,515960
2015-09-01,497279
2015-10-01,513941
2015-11-01,515410
2015-12-01,503444
2016-01-01,487200
2016-02-01,474156
2016-03-01,483909
2016-04-01,495178
2016-05-01,489867
2016-06-01,487636
2016-07-01,513221
2016-08-01,510157
2016-09-01,540615
2016-10-01,523760
2016-11-01,539972
2016-12-01,529372
2017-01-01,553557
2017-02-01,568637
2017-03-01,577674
2017-04-01,590797
2017-05-01,582764
2017-06-01,584258
2017-07-01,594414
2017-08-01,596567
2017-09-01,606334
2017-10-01,607838
2017-11-01,627422
2017-12-01,642798
2018-01-01,665716
2018-02-01,645064
2018-03-01,645235
2018-04-01,652303
2018-05-01,668940
2018-06-01,646931
2018-07-01,652790
2018-08-01,652395
2018-09-01,648126
2018-10-01,607645
2018-11-01,592593
2018-12-01,554285
2019-01-01,568433
2019-02-01,581205
2019-03-01,574013
2019-04-01,588721
2019-05-01,568751
2019-06-01,596304
2019-07-01,602139
2019-08-01,564894
2019-09-01,555910
2019-10-01,554604
2019-11-01,563482
2019-12-01,579221
2020-01-01,561812
2020-02-01,545127
2020-03-01,479291
2020-04-01,524696
2020-05-01,552543
2020-06-01,584676
2020-07-01,613830
2020-08-01,645547
2020-09-01,654324
2020-10-01,659313
2020-11-01,722118
2020-12-01,778037
2021-01-01,798605
2021-02-01,813680
2021-03-01,822551
2021-04-01,847186
2021-05-01,861626
2021-06-01,882103
2021-07-01,844324
2021-08-01,911545
2021-09-01,903117
2021-10-01,935862
2021-11-01,918598
2021-12-01,910021
2022-01-01,829637
2022-02-01,835255
2022-03-01,799660
2022-04-01,772940
2022-05-01,752944
2022-06-01,683445
2022-07-01,696781
2022-08-01,687787
2022-09-01,664009
2022-10-01,649618
2022-11-01,643783
2022-12-01,606659
2023-01-01,641228
2023-02-01,624379
2023-03-01,645429
2023-04-01,631949
2023-05-01,644170
