date,walcl_fed_total_assets
2015-07-22,4500503
2015-07-29,4485480
2015-08-05,4486329
2015-08-12,4489250
2015-08-19,4487208
2015-08-26,4475105
2015-09-02,4475886
2015-09-09,4478213
2015-09-16,4487809
2015-09-23,4497484
2015-09-30,4484111
2015-10-07,4486185
2015-10-14,4504704
2015-10-21,4501372
2015-10-28,4489339
2015-11-04,4489702
2015-11-11,4492012
2015-11-18,4486721
2015-11-25,4477088
2015-12-02,4478069
2015-12-09,4480436
2015-12-16,4489593
2015-12-23,4496523
2015-12-30,4486587
2016-01-06,4486606
2016-01-13,4501695
2016-01-20,4488840
2016-01-27,4482349
2016-02-03,4483495
2016-02-10,4486278
2016-02-17,4483629
2016-02-24,4489796
2016-03-02,4478485
2016-03-09,4481083
2016-03-16,4486333
2016-03-23,4492857
2016-03-30,4482840
2016-04-06,4484069
2016-04-13,4499729
2016-04-20,4490131
2016-04-27,4474665
2016-05-04,4477270
2016-05-11,4478411
2016-05-18,4473741
2016-05-25,4461111
2016-06-01,4461393
2016-06-08,4463542
2016-06-15,4472817
2016-06-22,4482009
2016-06-29,4466482
2016-07-06,4470605
2016-07-13,4472202
2016-07-20,4480973
2016-07-27,4464498
2016-08-03,4466793
2016-08-10,4468929
2016-08-17,4466476
2016-08-24,4473840
2016-08-31,4457907
2016-09-07,4459394
2016-09-14,4481635
2016-09-21,4473032
2016-09-28,4452002
2016-10-05,4459407
2016-10-12,4457698
2016-10-19,4467382
2016-10-26,4454326
2016-11-02,4453087
2016-11-09,4455087
2016-11-16,4453633
2016-11-23,4465782
2016-11-30,4446307
2016-12-07,4448618
2016-12-14,4470973
2016-12-21,4469089
2016-12-28,4451451
2017-01-04,4453101
2017-01-11,4452509
2017-01-18,4460758
2017-01-25,4452838
2017-02-01,4453881
2017-02-08,4456236
2017-02-15,4454676
2017-02-22,4468702
2017-03-01,4458018
2017-03-08,4459840
2017-03-15,4469577
2017-03-22,4478236
2017-03-29,4469618
2017-04-05,4474634
2017-04-12,4484492
2017-04-19,4479270
2017-04-26,4470142
2017-05-03,4471246
2017-05-10,4473459
2017-05-17,4467108
2017-05-24,4470852
2017-05-31,4459914
2017-06-07,4462443
2017-06-14,4476269
2017-06-21,4474257
2017-06-28,4463347
2017-07-05,4467272
2017-07-12,4466702
2017-07-19,4476903
2017-07-26,4465284
2017-08-02,4466846
2017-08-09,4469083
